Fire Name,Year,Fire_ID,Fire_SegID,Database,State,UTM_Zone,UTM_X,UTM_Y,Response,StormDate,GaugeDist_m,StormStart,StormEnd,StormDur_H,StormAccum_mm,StormAvgI_mm/h,Peak_I15_mm/h,Peak_I30_mm/h,Peak_I60_mm/h,ContributingArea_km2,PropHM23,dNBR/1000,KF,Acc015_mm,Acc030_mm,Acc060_mm
Station,2009,stn,stn_19924,Training,CA,11,390920.2683,3788707.871,1,2014/01/18,1328.43,1/17/10 14:39,1/19/10 7:53,41.2333333,110,2.66774454,35.2,30.8,26,0.0829429,0.740537491,0.213864716,0.24,8.8,15.4,26
Station,2009,stn,stn_19924,Training,CA,11,390920.2683,3788707.871,0,2014/01/20,1328.43,1/19/10 10:31,1/20/10 0:30,13.9833333,17,1.21573302,12.8,8.4,8,0.0829429,0.740537491,0.213864716,0.24,3.2,4.2,8
Station,2009,stn,stn_19924,Training,CA,11,390920.2683,3788707.871,0,2014/01/23,1328.43,1/21/10 4:03,1/23/10 1:51,45.8,74.2,1.62008734,20,17.2,12,0.0829429,0.740537491,0.213864716,0.24,5,8.6,12
Station,2009,stn,stn_19960,Training,CA,11,387412.7683,3788625.371,0,2014/01/20,2614.61,1/20/10 8:10,1/20/10 18:20,10.183,26.4,2.59,9.6,8.4,8.2,0.41707,0.685818558,0.199748978,0.2398475,2.4,4.2,8.2
Station,2009,stn,stn_19960,Training,CA,11,387412.7683,3788625.371,0,2014/01/23,2614.61,1/21/10 4:12,1/22/10 18:35,38.383,53.6,1.4,12,10.4,9,0.41707,0.685818558,0.199748978,0.2398475,3,5.2,9
Station,2009,stn,stn_19960,Training,CA,11,387412.7683,3788625.371,0,2014/02/28,2614.61,2/27/10 1:51,2/27/10 16:04,14.233,47.6,3.34,17.6,14.8,11.2,0.41707,0.685818558,0.199748978,0.2398475,4.4,7.4,11.2
Station,2009,stn,stn_19960,Training,CA,11,387412.7683,3788625.371,1,2014/01/18,2816.2,1/17/10 15:24,1/18/10 23:44,32.333,60.45,1.87,14.22,11.18,10.16,0.41707,0.685818558,0.199748978,0.2398475,3.555,5.59,10.16
Station,2009,stn,stn_20133,Training,CA,11,383900.2683,3790512.871,0,2013/12/12,1444.62,12/13/09 17:08,12/14/09 3:42,10.5666667,2,0.18927445,2.4,1.6,1.2,1.5851895,0.457647934,0.173606293,0.2364075,0.6,0.8,1.2
Station,2009,stn,stn_20133,Training,CA,11,383900.2683,3790512.871,0,2014/02/28,1444.62,2/27/10 1:58,2/27/10 15:47,13.817,50.04,3.62,27.43,18.8,12.19,1.5851895,0.457647934,0.173606293,0.2364075,6.8575,9.4,12.19
Station,2009,stn,stn_20133,Training,CA,11,383900.2683,3790512.871,1,2014/02/07,1444.62,2/5/10 9:28,2/7/10 0:18,38.8333333,70.8,1.82317597,36.8,26.8,18,1.5851895,0.457647934,0.173606293,0.2364075,9.2,13.4,18
Station,2009,stn,stn_20133,Training,CA,11,383900.2683,3790512.871,0,2013/11/13,1499.03,11/12/09 22:17,11/12/09 22:45,0.483,4.6,9.52,17.6,NaN,NaN,1.5851895,0.457647934,0.173606293,0.2364075,4.4,NaN,NaN
Station,2009,stn,stn_20150,Training,CA,11,387742.7683,3788315.371,0,2013/12/12,2898.29,12/10/09 22:07,12/13/09 5:23,55.267,106.4,1.93,14.4,12.4,10.2,0.0341857,0.075726719,0.012215972,0.2390334,3.6,6.2,10.2
Station,2009,stn,stn_20183,Training,CA,11,384900.2683,3790692.871,1,2014/01/18,216.965432,1/17/10 14:53,1/18/10 22:41,31.8,58,1.82389937,21.6,19.6,15,2.0652053,0.471634178,0.157263031,0.24,5.4,9.8,15
Station,2009,stn,stn_20183,Training,CA,11,384900.2683,3790692.871,0,2014/01/20,216.965432,1/19/10 6:55,1/20/10 0:23,17.4666667,14.4,0.82442748,12.8,7.2,6.8,2.0652053,0.471634178,0.157263031,0.24,3.2,3.6,6.8
Station,2009,stn,stn_20214,Training,CA,11,390575.2683,3788002.871,1,2013/12/12,1349.66,12/10/09 22:30,12/13/09 11:27,60.95,174.6,2.86464315,27.2,23.2,17.2,0.09499,0.416643143,0.090863106,0.24,6.8,11.6,17.2
Station,2009,stn,stn_20214,Training,CA,11,390575.2683,3788002.871,0,2013/11/13,1349.66,11/12/09 23:12,11/13/09 8:13,9.01666667,28.2,3.12754159,43.2,32.8,28.2,0.09499,0.416643143,0.090863106,0.24,10.8,16.4,28.2
Station,2009,stn,stn_20214,Training,CA,11,390575.2683,3788002.871,0,2014/01/20,1349.66,1/19/10 10:31,1/20/10 0:30,13.9833333,17,1.21573302,12.8,8.4,8,0.09499,0.416643143,0.090863106,0.24,3.2,4.2,8
Station,2009,stn,stn_20214,Training,CA,11,390575.2683,3788002.871,0,2014/01/23,1349.66,1/21/10 4:03,1/23/10 1:51,45.8,74.2,1.62008734,20,17.2,12,0.09499,0.416643143,0.090863106,0.24,5,8.6,12
Station,2009,stn,stn_20214,Training,CA,11,390575.2683,3788002.871,1,2014/01/18,1417.52,1/17/10 15:24,1/18/10 23:44,32.333,60.45,1.87,14.22,11.18,10.16,0.09499,0.416643143,0.090863106,0.24,3.555,5.59,10.16
Station,2009,stn,stn_20219,Training,CA,11,390922.7683,3788122.871,1,2013/12/12,1536.32,12/10/09 22:30,12/13/09 11:27,60.95,174.6,2.86464315,27.2,23.2,17.2,0.038419,0.438194084,0.055951202,0.24,6.8,11.6,17.2
Station,2009,stn,stn_20219,Training,CA,11,390922.7683,3788122.871,0,2013/11/13,1536.32,11/12/09 23:12,11/13/09 8:13,9.01666667,28.2,3.12754159,43.2,32.8,28.2,0.038419,0.438194084,0.055951202,0.24,10.8,16.4,28.2
Station,2009,stn,stn_20280,Training,CA,11,389202.7683,3787795.371,0,2014/02/28,1566.03,2/27/10 1:52,2/27/10 17:06,15.25,50.8,3.33,18.29,15.24,14.22,0.27461,0.613444405,0.131871704,0.24,4.5725,7.62,14.22
Station,2009,stn,stn_20289,Training,CA,11,387460.2683,3788312.871,0,2013/12/12,2794.89,NaN,NaN,0,0,0,NaN,NaN,NaN,0.032985,0.221233368,0.095105301,0.1922559,NaN,NaN,NaN
Station,2009,stn,stn_20289,Training,CA,11,387460.2683,3788312.871,0,2013/11/13,2794.89,NaN,NaN,0,0,0,NaN,NaN,NaN,0.032985,0.221233368,0.095105301,0.1922559,NaN,NaN,NaN
Station,2009,stn,stn_20310,Training,CA,11,389500.2683,3787742.871,0,2013/11/13,1694.71,11/12/09 23:12,11/13/09 8:13,9.01666667,28.2,3.12754159,43.2,32.8,28.2,0.0450095,0.41772419,0.111157227,0.24,10.8,16.4,28.2
Station,2009,stn,stn_20346,Training,CA,11,388582.7683,3787845.371,1,2014/01/18,1835.1,1/17/10 15:24,1/18/10 23:44,32.333,60.45,1.87,14.22,11.18,10.16,0.4169292,0.37023365,0.097387444,0.2396449,3.555,5.59,10.16
Station,2009,stn,stn_20346,Training,CA,11,388582.7683,3787845.371,0,2014/01/20,1835.1,1/20/10 4:00,1/20/10 18:18,14.3,33.02,2.31,10.16,6.6,6.6,0.4169292,0.37023365,0.097387444,0.2396449,2.54,3.3,6.6
Station,2009,stn,stn_20346,Training,CA,11,388582.7683,3787845.371,0,2014/01/23,1835.1,1/21/10 3:57,1/23/10 0:30,44.55,41.4,0.93,27.43,14.73,8.13,0.4169292,0.37023365,0.097387444,0.2396449,6.8575,7.365,8.13
Station,2009,stn,stn_20346,Training,CA,11,388582.7683,3787845.371,0,2014/02/28,1835.1,2/27/10 1:52,2/27/10 17:06,15.25,50.8,3.33,18.29,15.24,14.22,0.4169292,0.37023365,0.097387444,0.2396449,4.5725,7.62,14.22
Station,2009,stn,stn_20346,Training,CA,11,388582.7683,3787845.371,0,2013/12/12,2118.3,12/10/09 22:30,12/13/09 11:27,60.95,174.6,2.86464315,27.2,23.2,17.2,0.4169292,0.37023365,0.097387444,0.2396449,6.8,11.6,17.2
Station,2009,stn,stn_20346,Training,CA,11,388582.7683,3787845.371,0,2013/11/13,2118.3,11/12/09 23:12,11/13/09 8:13,9.01666667,28.2,3.12754159,43.2,32.8,28.2,0.4169292,0.37023365,0.097387444,0.2396449,10.8,16.4,28.2
Station,2009,stn,stn_20388,Training,CA,11,390077.7683,3787580.371,1,2014/01/18,1580.57,1/17/10 15:24,1/18/10 23:44,32.333,60.45,1.87,14.22,11.18,10.16,0.4463238,0.522125931,0.106284096,0.2399999,3.555,5.59,10.16
Station,2009,stn,stn_20388,Training,CA,11,390077.7683,3787580.371,0,2014/01/20,1580.57,1/20/10 4:00,1/20/10 18:18,14.3,33.02,2.31,10.16,6.6,6.6,0.4463238,0.522125931,0.106284096,0.2399999,2.54,3.3,6.6
Station,2009,stn,stn_20388,Training,CA,11,390077.7683,3787580.371,0,2014/01/23,1580.57,1/21/10 3:57,1/23/10 0:30,44.55,41.4,0.93,27.43,14.73,8.13,0.4463238,0.522125931,0.106284096,0.2399999,6.8575,7.365,8.13
Station,2009,stn,stn_20388,Training,CA,11,390077.7683,3787580.371,1,2014/02/07,1580.57,2/5/10 8:42,2/6/10 16:30,31.8,102.36,3.22,55.88,39.62,25.91,0.4463238,0.522125931,0.106284096,0.2399999,13.97,19.81,25.91
Station,2009,stn,stn_20388,Training,CA,11,390077.7683,3787580.371,1,2013/11/13,1652.27,11/12/09 23:12,11/13/09 8:13,9.01666667,28.2,3.12754159,43.2,32.8,28.2,0.4463238,0.522125931,0.106284096,0.2399999,10.8,16.4,28.2
Station,2009,stn,stn_20404,Training,CA,11,387830.2683,3788102.871,1,2014/01/18,2471.3,1/17/10 15:24,1/18/10 23:44,32.333,60.45,1.87,14.22,11.18,10.16,0.2839579,0.193745136,0.072650101,0.2358664,3.555,5.59,10.16
Station,2009,stn,stn_20404,Training,CA,11,387830.2683,3788102.871,0,2014/01/20,2471.3,1/20/10 4:00,1/20/10 18:18,14.3,33.02,2.31,10.16,6.6,6.6,0.2839579,0.193745136,0.072650101,0.2358664,2.54,3.3,6.6
Station,2009,stn,stn_20404,Training,CA,11,387830.2683,3788102.871,0,2014/01/23,2471.3,1/21/10 3:57,1/23/10 0:30,44.55,41.4,0.93,27.43,14.73,8.13,0.2839579,0.193745136,0.072650101,0.2358664,6.8575,7.365,8.13
Station,2009,stn,stn_20404,Training,CA,11,387830.2683,3788102.871,0,2013/12/12,2763.02,12/10/09 22:07,12/13/09 5:23,55.267,106.4,1.93,14.4,12.4,10.2,0.2839579,0.193745136,0.072650101,0.2358664,3.6,6.2,10.2
Station,2009,stn,stn_20404,Training,CA,11,387830.2683,3788102.871,0,2013/11/13,2763.02,11/12/09 22:21,11/12/09 23:06,0.75,5,6.67,18.4,9.6,NaN,0.2839579,0.193745136,0.072650101,0.2358664,4.6,4.8,NaN
Station,2009,stn,stn_20409,Training,CA,11,389852.7683,3787560.371,0,2013/12/12,1533.96,NaN,NaN,0,0,0,NaN,NaN,NaN,0.1129609,0.490713959,0.122474808,0.2399903,NaN,NaN,NaN
Station,2009,stn,stn_20409,Training,CA,11,389852.7683,3787560.371,1,2014/01/18,1533.96,1/17/10 15:24,1/18/10 23:44,32.333,60.45,1.87,14.22,11.18,10.16,0.1129609,0.490713959,0.122474808,0.2399903,3.555,5.59,10.16
Station,2009,stn,stn_20409,Training,CA,11,389852.7683,3787560.371,0,2013/11/13,1656.31,11/12/09 23:12,11/13/09 8:13,9.01666667,28.2,3.12754159,43.2,32.8,28.2,0.1129609,0.490713959,0.122474808,0.2399903,10.8,16.4,28.2
Station,2009,stn,stn_20410,Training,CA,11,389872.7683,3787780.371,0,2013/12/12,1309.26,NaN,NaN,0,0,0,NaN,NaN,NaN,0.0764091,0.603600197,0.109997849,0.24,NaN,NaN,NaN
Station,2009,stn,stn_20410,Training,CA,11,389872.7683,3787780.371,1,2014/01/18,1309.26,1/17/10 15:24,1/18/10 23:44,32.333,60.45,1.87,14.22,11.18,10.16,0.0764091,0.603600197,0.109997849,0.24,3.555,5.59,10.16
Station,2009,stn,stn_20410,Training,CA,11,389872.7683,3787780.371,0,2014/01/20,1309.26,1/20/10 4:00,1/20/10 18:18,14.3,33.02,2.31,10.16,6.6,6.6,0.0764091,0.603600197,0.109997849,0.24,2.54,3.3,6.6
Station,2009,stn,stn_20410,Training,CA,11,389872.7683,3787780.371,0,2014/01/23,1309.26,1/21/10 3:57,1/23/10 0:30,44.55,41.4,0.93,27.43,14.73,8.13,0.0764091,0.603600197,0.109997849,0.24,6.8575,7.365,8.13
Station,2009,stn,stn_20410,Training,CA,11,389872.7683,3787780.371,0,2013/11/13,1423.09,11/12/09 23:12,11/13/09 8:13,9.01666667,28.2,3.12754159,43.2,32.8,28.2,0.0764091,0.603600197,0.109997849,0.24,10.8,16.4,28.2
Station,2009,stn,stn_20469,Training,CA,11,385885.2683,3790037.871,0,2014/01/20,248.270591,1/20/10 8:10,1/20/10 18:20,10.183,26.4,2.59,9.6,8.4,8.2,0.6185285,0.47903595,0.122283112,0.2399999,2.4,4.2,8.2
Station,2009,stn,stn_20469,Training,CA,11,385885.2683,3790037.871,0,2014/01/23,248.270591,1/21/10 4:12,1/22/10 18:35,38.383,53.6,1.4,12,10.4,9,0.6185285,0.47903595,0.122283112,0.2399999,3,5.2,9
Station,2009,stn,stn_20469,Training,CA,11,385885.2683,3790037.871,1,2014/01/18,1000.7,1/17/10 14:48,1/18/10 14:39,23.85,49.8,2.09,16,14.4,10.4,0.6185285,0.47903595,0.122283112,0.2399999,4,7.2,10.4
Station,2009,stn,stn_20470,Training,CA,11,385955.2683,3790247.871,1,2014/02/07,85.1603778,2/5/10 9:20,2/6/10 17:18,31.983,99.4,3.11,77.6,48.4,30.2,0.5705087,0.515067444,0.132121368,0.2399999,19.4,24.2,30.2
